                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2228,                 2.4387,                      0,                 4.7429,                 1.4928,                0.46766,                0.47418,                0.42757,                0.11997,                0.48925,                0.60094,                0.55072,                0.43415,                 2.7083,                 1.0885,                      0,                 1.7376,                 1.1187,             0.00065432,             0.00065432,             0.00065432
                      2,                  2.538,                0.87573,                      0,                 1.5391,                   1.08,                0.68396,                0.66043,                0.68878,                0.25363,                0.79358,                0.75587,                0.82079,                0.69197,                 2.2442,                0.74886,                      0,                 1.1924,                 1.0229,              0.0013184,              0.0013184,              0.0013184
                      3,                 2.3764,                0.77105,                      0,                 1.3695,                 1.0411,                0.76421,                0.73709,                0.76706,                0.30477,                0.82113,                0.79343,                0.84633,                0.72661,                 2.1735,                0.66973,                      0,                 1.0906,                0.99402,              0.0019798,              0.0019798,              0.0019798
                      4,                 2.4682,                0.72357,                      0,                 1.3598,                 1.0595,                0.78433,                0.73419,                0.75282,                0.27551,                0.83321,                 0.8216,                0.87614,                0.74141,                 2.2344,                0.70047,                      0,                 1.1077,                 1.0287,              0.0019881,              0.0019881,              0.0019881
                      5,                  2.296,                0.66233,                      0,                 1.2062,                 1.0387,                0.80348,                0.74648,                0.79867,                0.30469,                0.83267,                 0.8216,                 0.8857,                 0.7604,                 2.2069,                0.66793,                      0,                 1.0191,                 0.9982,              0.0019881,              0.0019881,              0.0019881
                      6,                 2.2524,                0.64875,                      0,                 1.1318,                 1.0244,                 0.8602,                0.70423,                0.77729,                0.32336,                0.85193,                0.78873,                0.87754,                 0.7622,                  2.074,                0.62472,                      0,                 1.0306,                0.98718,              0.0019842,              0.0019842,              0.0019842
                      7,                 2.1068,                0.61884,                      0,                 1.0688,                0.99928,                0.87237,                0.73809,                0.81771,                0.36358,                0.87851,                0.78084,                0.88738,                0.77178,                 1.8933,                0.59937,                      0,                  0.958,                0.94891,              0.0019802,              0.0019802,              0.0019802
                      8,                 2.1903,                0.61568,                      0,                 1.1796,                 1.0094,                0.85461,                0.71753,                0.81312,                0.35283,                0.85323,                0.81221,                0.90715,                0.78521,                   2.01,                0.58647,                      0,                0.94522,                0.98335,              0.0019762,              0.0019762,              0.0019762
                      9,                  2.118,                0.60018,                      0,                 1.0831,                0.99498,                0.84487,                0.76706,                0.84357,                0.38149,                0.85537,                0.83302,                0.90044,                0.78532,                  1.918,                0.56609,                      0,                 1.0922,                0.94664,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.0265,                0.57166,                      0,                 1.0484,                0.98025,                0.89696,                0.80282,                0.88762,                0.38909,                0.89658,                0.81404,                0.92537,                0.80324,                 1.9582,                0.58656,                      0,                0.95769,                0.95273,              0.0019683,              0.0019683,              0.0019683
