                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2744,                0.12611,                      0,                0.56626,                 0.8506,                0.88232,                0.91524,                0.94934,                0.50936,                0.89666,                0.92958,                0.95615,                0.91636,                 1.6796,                0.15413,                      0,                0.71436,                0.90923,             0.00065432,             0.00065432,             0.00065432
                      2,                 1.3589,                0.14394,                      0,                0.60634,                 0.8508,                0.90433,                0.87324,                0.93644,                0.50512,                0.91441,                0.91549,                0.96289,                 0.9087,                 1.6274,                 0.1729,                      0,                0.70231,                0.90833,              0.0013184,              0.0013184,              0.0013184
                      3,                 1.3925,                0.15941,                      0,                0.62449,                0.85828,                0.88442,                0.89202,                0.92515,                0.50215,                0.91015,                0.92488,                0.95762,                0.89727,                 1.6571,                0.19109,                      0,                0.66231,                0.91182,              0.0019798,              0.0019798,              0.0019798
                      4,                 1.4376,                0.17459,                      0,                0.64867,                0.86358,                0.88445,                0.88263,                0.90962,                0.47815,                0.90943,                 0.9061,                0.95204,                 0.8897,                 1.6914,                0.19534,                      0,                0.83799,                0.91066,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.3954,                0.16451,                      0,                0.63893,                0.85885,                0.88989,                0.91063,                0.92707,                0.46749,                0.90813,                0.92816,                0.95309,                0.88397,                 1.6858,                0.18073,                      0,                 0.7446,                 0.9159,              0.0019881,              0.0019881,              0.0019881
                      6,                 1.4193,                0.16182,                      0,                0.63472,                0.86696,                0.92457,                0.88263,                0.93468,                0.48203,                0.92571,                0.89671,                0.95005,                0.89049,                 1.7245,                0.17168,                      0,                0.73538,                0.91653,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.4143,                 0.1665,                      0,                0.62104,                0.87233,                 0.8655,                 0.9108,                0.92678,                0.47578,                0.89227,                0.93897,                0.95857,                0.89487,                 1.6935,                0.18411,                      0,                0.76568,                0.91187,              0.0019802,              0.0019802,              0.0019802
                      8,                   1.46,                0.18072,                      0,                0.65616,                0.87486,                0.85575,                 0.9061,                0.93128,                0.49387,                0.88294,                0.93427,                0.96002,                0.89505,                 1.5839,                0.20769,                      0,                0.78966,                0.90328,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.4281,                0.17537,                      0,                0.65442,                0.87085,                 0.8612,                0.90303,                 0.9221,                0.48153,                 0.8692,                0.93598,                0.95701,                0.90354,                 1.7095,                0.18838,                      0,                0.71127,                0.91462,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.3962,                0.16489,                      0,                0.62999,                0.86735,                0.90429,                0.88713,                0.91666,                0.49194,                0.90256,                0.91325,                0.95451,                0.90868,                 1.7345,                0.17286,                      0,                0.69956,                0.91943,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.4226,                0.15405,                      0,                0.64737,                0.86691,                0.91113,                0.85915,                0.93171,                0.46965,                0.93623,                0.88263,                0.96139,                0.90921,                 1.7736,                0.16941,                      0,                0.69728,                0.92351,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.4437,                0.17625,                      0,                0.64532,                0.87222,                0.86567,                 0.9061,                0.93523,                 0.4824,                0.87913,                0.92019,                0.95843,                0.89506,                 1.7379,                0.19713,                      0,                0.71937,                0.92204,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.4341,                0.16427,                      0,                 0.6393,                0.87439,                0.90885,                0.87324,                  0.939,                0.48021,                0.89998,                0.92935,                 0.9633,                0.90382,                 1.8378,                0.20809,                      0,                0.74937,                0.93572,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.4539,                0.17248,                      0,                0.65295,                 0.8631,                0.85647,                0.89202,                0.93565,                0.44936,                0.87419,                0.91343,                0.96348,                0.90751,                 1.7812,                0.17562,                      0,                0.73752,                 0.9336,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.4247,                0.17159,                      0,                0.65734,                0.86324,                0.86583,                0.87862,                0.91721,                0.48305,                0.88155,                0.93427,                0.95891,                0.92116,                 1.6908,                0.14998,                      0,                0.72351,                0.91005,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.4193,                0.16386,                      0,                0.64337,                0.86505,                0.85012,                0.88263,                0.91611,                0.47424,                0.87894,                0.91549,                  0.958,                0.90103,                 1.7041,                0.18833,                      0,                0.76478,                0.91563,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.4431,                 0.1827,                      0,                0.65718,                0.86629,                0.87323,                0.90552,                0.93067,                0.49012,                0.90268,                0.93897,                0.96518,                0.91732,                 1.6301,                 0.1539,                      0,                0.71374,                0.90686,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.4402,                0.18188,                      0,                0.64908,                 0.8633,                0.87536,                0.89671,                0.93634,                0.50258,                0.88464,                 0.9108,                0.95694,                 0.9098,                 1.6391,                0.15226,                      0,                0.74855,                0.90841,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.3522,                0.15093,                      0,                0.61948,                0.86094,                0.86652,                0.90141,                0.92689,                0.48184,                0.88863,                0.93655,                0.95611,                0.90918,                 1.6966,                0.16829,                      0,                0.78806,                0.90989,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.3797,                0.17215,                      0,                0.64243,                0.86714,                0.90161,                0.87324,                0.93017,                0.46922,                0.92054,                0.89202,                0.95853,                0.90592,                 1.7889,                 0.1831,                      0,                0.68953,                0.92755,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.3934,                 0.1645,                      0,                0.62838,                0.86717,                0.88627,                0.87793,                0.91885,                0.49997,                0.90964,                 0.9108,                0.95841,                0.90394,                 1.7089,                0.18845,                      0,                0.79762,                0.91604,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.4403,                0.16488,                      0,                0.65966,                0.86824,                0.87901,                0.88263,                0.91956,                0.48688,                0.90761,                 0.9108,                0.95521,                0.89819,                 1.5907,                0.17501,                      0,                0.76861,                0.90585,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.3878,                0.16057,                      0,                0.62435,                0.85795,                0.87146,                0.89121,                0.92158,                0.49345,                0.90354,                0.92353,                0.96312,                0.90768,                 1.7223,                0.16076,                      0,                0.76167,                0.91425,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.4196,                0.16806,                      0,                0.63489,                0.86554,                0.88611,                0.87665,                0.90889,                0.48041,                0.91928,                0.90892,                 0.9585,                0.90206,                 1.8416,                 0.1818,                      0,                0.76943,                0.93041,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.4125,                0.17368,                      0,                0.63794,                 0.8679,                0.86381,                0.83378,                0.89092,                0.44427,                0.89809,                0.91018,                0.95398,                0.89931,                 1.8655,                0.20226,                      0,                0.82483,                0.94711,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.4247,                0.16002,                      0,                0.62803,                0.87127,                 0.8503,                0.88732,                0.90049,                0.45996,                0.89038,                0.92958,                0.94485,                 0.8967,                 1.8292,                0.17711,                      0,                0.77966,                0.93736,               0.001905,               0.001905,               0.001905
                     27,                  1.426,                0.16392,                      0,                0.65361,                0.85798,                0.89921,                0.88732,                0.93676,                0.49277,                0.91027,                0.90494,                0.95682,                0.89753,                 1.7049,                0.17137,                      0,                 0.8712,                 0.9124,               0.001901,               0.001901,               0.001901
                     28,                 1.4079,                 0.1732,                      0,                0.65274,                0.86201,                 0.9051,                0.91549,                0.93478,                0.49129,                 0.9141,                0.92958,                0.96474,                0.89819,                 1.7849,                0.18806,                      0,                0.83129,                0.92728,               0.001897,               0.001897,               0.001897
                     29,                 1.3757,                0.16599,                      0,                0.63055,                0.86144,                0.92344,                0.85915,                 0.9287,                0.47431,                0.94254,                0.87793,                0.96549,                0.90452,                 1.7324,                0.17815,                      0,                0.76994,                0.91781,              0.0018931,              0.0018931,              0.0018931
                     30,                  1.418,                0.16897,                      0,                0.63975,                0.86233,                 0.8829,                0.88732,                0.90716,                0.44524,                0.89825,                0.91549,                0.94536,                0.88333,                 1.8434,                0.20644,                      0,                0.91349,                0.93632,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.4419,                0.17344,                      0,                0.64567,                0.86844,                0.87673,                0.89202,                  0.916,                0.46859,                0.89708,                0.92488,                0.95751,                0.90927,                  1.705,                0.17902,                      0,                0.91327,                0.91936,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.4795,                0.17776,                      0,                0.66296,                0.87258,                0.81862,                0.86854,                0.89064,                0.43544,                0.84627,                0.89671,                 0.9338,                0.87611,                 1.8822,                0.19421,                      0,                 0.9646,                0.93963,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.4069,                0.15786,                      0,                0.63121,                  0.873,                0.89819,                0.91549,                0.94041,                0.47661,                 0.9044,                0.94366,                0.96759,                0.90201,                 1.7912,                0.21841,                      0,                0.94457,                0.92168,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.4005,                0.15688,                      0,                0.62236,                0.86046,                0.91371,                0.84515,                0.92685,                0.48318,                0.87475,                0.91812,                0.94601,                 0.8927,                 1.7524,                0.18427,                      0,                0.81486,                0.92081,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.3969,                0.15794,                      0,                0.63147,                0.85788,                0.86188,                 0.9061,                0.91671,                 0.4637,                0.88867,                0.93427,                0.95598,                0.89694,                 1.7397,                0.18267,                      0,                0.86227,                0.92229,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.4042,                0.15017,                      0,                0.61831,                 0.8596,                0.88854,                0.88732,                0.92538,                 0.4656,                0.90151,                0.90245,                0.95379,                0.90066,                 1.6337,                0.16748,                      0,                0.76249,                0.90876,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.4183,                0.15348,                      0,                0.63628,                0.85975,                0.87449,                0.90141,                0.93416,                0.49765,                0.87611,                0.94366,                0.95813,                 0.8954,                 1.6614,                0.18714,                      0,                0.87985,                0.91146,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.3557,                0.14723,                      0,                0.62789,                0.85326,                0.88962,                0.86854,                0.92149,                0.46606,                0.89789,                 0.9061,                0.96304,                0.89275,                  1.808,                0.17931,                      0,                0.76383,                 0.9294,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.3985,                0.15946,                      0,                0.62132,                0.85379,                0.87493,                0.88673,                0.92799,                0.49308,                0.87866,                0.95189,                0.96419,                 0.9102,                 1.7096,                0.15213,                      0,                0.83651,                0.91769,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.4119,                0.14539,                      0,                0.62889,                0.85772,                0.89497,                0.87793,                0.93194,                0.45539,                0.86665,                0.95775,                0.95761,                0.90088,                 1.7872,                0.17071,                      0,                0.77608,                 0.9318,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.3987,                0.16285,                      0,                0.64311,                0.86445,                0.86597,                0.91004,                0.93593,                0.48257,                0.88139,                0.93427,                0.95985,                0.90957,                 1.6425,                0.17602,                      0,                0.80958,                0.90778,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.4205,                0.15728,                      0,                0.64148,                0.86766,                0.86388,                0.89385,                0.91794,                0.47897,                0.92716,                0.89638,                0.95434,                0.90243,                 1.7039,                0.18501,                      0,                0.84103,                0.92053,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.4106,                0.16392,                      0,                 0.6449,                0.85705,                0.89087,                0.88151,                0.93192,                0.49474,                 0.8759,                0.92488,                0.95394,                 0.8904,                 1.7347,                0.20171,                      0,                0.79708,                0.91937,              0.0018376,              0.0018376,              0.0018376
                     44,                  1.405,                0.16722,                      0,                0.62968,                0.85463,                0.88021,                0.89689,                0.93008,                0.49549,                0.90231,                0.92488,                0.96021,                0.90227,                  1.705,                0.17188,                      0,                0.73426,                0.91104,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3876,                0.14872,                      0,                0.61942,                0.86635,                0.86396,                0.87793,                0.91943,                0.48881,                 0.8677,                0.94366,                0.95458,                0.89694,                  1.654,                0.16857,                      0,                 0.7805,                0.91223,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.3819,                0.15433,                      0,                0.62264,                0.85913,                0.88713,                0.88565,                0.93071,                  0.491,                0.86565,                0.95305,                0.96058,                0.91143,                 1.6046,                0.16344,                      0,                0.76219,                0.90574,              0.0018258,              0.0018258,              0.0018258
